,dtype,non_null,null_count,unique_values,memory_usage
Index,,,,,132
description,object,100.0,0.0,5.0,9591
publishedAt,object,100.0,0.0,84.0,8300
sentiment_score,float64,100.0,0.0,100.0,800
source,object,100.0,0.0,5.0,6409
title,object,100.0,0.0,100.0,8781
topic,object,100.0,0.0,5.0,6591
url,object,100.0,0.0,100.0,9090
