,dtype,non_null,null_count,unique_values,memory_usage
Index,,,,,132
author,object,19.0,11.0,13.0,2058
content,object,30.0,0.0,30.0,22025
description,object,30.0,0.0,29.0,23440
publishedAt,object,30.0,0.0,30.0,2310
source,object,30.0,0.0,9.0,2877
title,object,30.0,0.0,30.0,8777
url,object,30.0,0.0,30.0,4788
urlToImage,object,29.0,1.0,29.0,4628
