source,count
"{'id': None, 'name': 'Donanimhaber.com'}",9
"{'id': None, 'name': 'Shiftdelete.net'}",4
"{'id': None, 'name': 'Patronlardunyasi.com'}",4
"{'id': None, 'name': 'Haberturk.com'}",3
"{'id': None, 'name': 'Webrazzi.com'}",2
"{'id': None, 'name': 'Anadolu Agency'}",2
"{'id': None, 'name': 'Hurriyet.com.tr'}",2
"{'id': None, 'name': 'Chip.com.tr'}",2
"{'id': None, 'name': 'Haber7.com'}",2
